	Domain	Group	Clade	Kingdom	Subkingdom	Division	Subdivision	Class	Order	Family	Genus	Species
Cortinarius_iringa	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_iringa
Cortinarius_spilomeus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_spilomeus
Cortinarius_floccopus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_floccopus
Cortinarius_pseudocephalixus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_pseudocephalixus
Cortinarius_purpurascens	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_purpurascens
Cortinarius_metarius	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_metarius
Cortinarius_variicolor	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_variicolor
Cortinarius_venetus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_venetus
Cortinarius_elotoides	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_elotoides
Cortinarius_terpsichores	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_terpsichores
Cortinarius_sp	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	unidentified
Cortinarius_illuminoides	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_illuminoides
Cortinarius_papaver	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_papaver
Cortinarius_boreidionysae	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_boreidionysae
Cortinarius_cruentoides	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_cruentoides
Cortinarius_bolaris	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_bolaris
